City_Id,City_Name,City_Name_Ar,Zone_Id,Zone_Name,Zone_Name_Ar,District_Id,District_Name,District_Name_Ar,Pickup_Availability,DropOff_Availability,Zone_Hub_Code,District_Hub_Code,District_FM_Hub_Code
FceDyHXwpSYYF9zGW,Cairo,القاهره,bibVdtGGuSV,ElZeytoun,الزيتون,_DsYyDNqmyn,ElAmireyah,الاميريه,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,uERXkieO3fX,ElMatareya,المطريه,5-EdxuKvPDo,ElAzab (ElMatareyah),العزب (المطريه),TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,uERXkieO3fX,ElMatareya,المطريه,5PNerRmorQb,ElMatareyah ElBahreyah,المطريه البحريه,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,uERXkieO3fX,ElMatareya,المطريه,o5W4FFwEGtc,ElMatareyah ElGharbeyah,المطريه الغربيه,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,uERXkieO3fX,ElMatareya,المطريه,9FSsHA0xwNM,ElMatareyah ElQebleyah,المطريه القبليه,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,uERXkieO3fX,ElMatareya,المطريه,Oye0hk6H2hO,Shagret Mariem,شجره مريم,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,HHb5ktkbeBa,Ein Shams,عين شمس,LqFqaP0KBQT,Ein Shams ElGharbeyah,عين شمس الغربيه,TRUE,TRUE,,,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,8wlSvImUB7P,Nasr City,مدينه نصر,68qIeN9A3G7,ElTawfik,التوفيق,TRUE,TRUE,NASR CITY,NASR CITY,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,8wlSvImUB7P,Nasr City,مدينه نصر,T7aLlfu51ok,ElSharekat,الشركات,TRUE,TRUE,NASR CITY,NASR CITY,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,8wlSvImUB7P,Nasr City,مدينه نصر,yN-2xDm7SDr,ElNadi ElAhli,النادي الاهلي,TRUE,TRUE,NASR CITY,NASR CITY,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,8wlSvImUB7P,Nasr City,مدينه نصر,FFJNMuJFz4e,ElManteqa 09 (Nasr City),المنطقه التاسعه (مدينه نصر),TRUE,TRUE,NASR CITY,NASR CITY,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,8wlSvImUB7P,Nasr City,مدينه نصر,AcTViQMl5Gj,ElManteqa 10,المنطقه العاشره,TRUE,TRUE,NASR CITY,NASR CITY,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,8wlSvImUB7P,Nasr City,مدينه نصر,sCQ2vD-B7zi,ElManteqa 01 (Nasr City),المنطقه الاولي (مدينه نصر),TRUE,TRUE,NASR CITY,NASR CITY,FM-REVERSE-CAIRO
FceDyHXwpSYYF9zGW,Cairo,القاهره,8wlSvImUB7P,Nasr City,مدينه نصر,9X-kOjVYdxg,ElManteqa 06 (Nasr City),المنطقه السادسه (مدينه نصر),TRUE,TRUE,NASR CITY,NASR CITY,FM-REVERSE-CAIRO
